"id","name_en","name_th","description","version","source","updated_at","location","skills","drops","recommended_level","strategy"
"dimensional_gatekeeper","Dimensional Gatekeeper","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Land Frozen in Time via Dimensional Tablet at Mysterious Megalith in Strange Forest","","[""Space-Time Sphere""]","",""
"confused_wizard","Confused Wizard","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Elven Sanctuary via Dimensional Tablet at Mysterious Megalith in Strange Forest","","[""Elven Relic""]","",""
"summoned_demon","Summoned Demon","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dark Lord's Castle via Dark Relic at Ancient Gate in Endless Wasteland","","","",""
"forest_sentry","Forest Sentry","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Spirit King's World via Elven Relic at Ancient Gate in Endless Wasteland","","","","Ending 3 only."
"furious_demon","Furious Demon","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Corrupted Spirit King's World via Elven Relic at Ancient Gate in Endless Wasteland","","","","Ending 4 only."
"fallen_angel","Fallen Angel","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Abandoned Castle in Dark Ruins","","[""Heart of a Fallen Angel""]","",""
"qilin","Qilin","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Mystical Beast Dungeon","","[""Mystical Beast's Heart"",""Mystical Beast's Brain""]","","Reward is random."
"seized_spirit","Seized Spirit","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","First Dungeon of Adversity in Spirit Land","","[""Debris of Green Adversity"",""Rescued Soul""]","",""
"restrained_spirit","Restrained Spirit","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Second Dungeon of Adversity in Spirit Land","","[""Debris of Yellow Adversity"",""Rescued Soul""]","",""
"eternally_shackled_spirit","Eternally Shackled Spirit","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Third Dungeon of Adversity in Spirit Land","","[""Debris of Purple Adversity"",""Rescued Soul""]","",""
"netherworld_judge_and_executioner","Netherworld Judge and Executioner","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Destiny Dungeon in Spirit Land","","","","Unlocks final Reincarnation Altar."
"merciless_cook","Merciless Cook","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ogre's Den in Strange Land's Underground Site","","[""Piece of Malice""]","","Available after Somewhere in a Strange Land 1."
"fallen_gang_leader","Fallen Gang Leader","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ogre's Den in Strange Land's Underground Site","","[""Piece of Malice""]","","Available after Somewhere in a Strange Land 2."
"ogre_leader_of_retaliation","Ogre Leader of Retaliation","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps","","","","Miniboss."
"guardian_of_light","Guardian of Light","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"old_mage","Old Mage","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"wrath_of_the_forest","Wrath of the Forest","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"soul_harvester","Soul Harvester","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"reckless_machine","Reckless Machine","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"werebeast_leader","Werebeast Leader","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"android_dwarf","Android Dwarf","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"dreadful_devil","Dreadful Devil","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"monarch_of_destruction","Monarch of Destruction","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins where the Devil Sleeps; Infinite Abyss of Dreams","","","","Random Ruins boss; repeats in Infinite Abyss."
"forgotten_guardians","Forgotten Guardians","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins of Light VI in Sealed Land","","[""Light Tablet x1 per guardian""]","",""
"forgotten_statues","Forgotten Statues","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Sealed Land","","","","Difficult only; defeat two Forgotten Statues and one Forgotten Guardian to leave after collecting the Light Tablets."
"forgotten_guardian_spirits","Forgotten Guardian Spirits","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ruins of Light VI in Sealed Land","","","","Difficult only; appear after approaching and after repairing Ruins of Light VI."
